;Nom_Oferta;Empresa;Ubicació;Temps_Oferta;Horari
99;DATA ANALYST – We have tons of data, what can you do with it ?;Reflex Leads;Barcelona, Cataluña, España;hace 1 semana;Jornada completa
100;Fraud Data Analyst (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
101;Data Analyst - Acquisition (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
102;Senior Global Data Analyst;The Valley Talent;Barcelona, Cataluña, España;hace 2 días;Jornada completa · Algo de responsabilidad
103;Crew Data Analyst;Norwegian;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
104;Business Data Analyst for Tax Engine;Amazon;Barcelona, Cataluña, España;hace 1 semana;Jornada completa
105;Data Analyst - Food Innovation;Glovo;Barcelona, Cataluña, España;hace 4 semanas;Jornada completa · Sin experiencia
106;Data Analyst - Talent Team (m/f/d);TIER Mobility;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
107;Data Analyst - Food Innovation (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 días;Jornada completa · Sin experiencia
108;Data Engineer;Remote;España;hace 2 semanas;Jornada completa · Sin experiencia
109;Senior Data Analyst;Tilting Point;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
110;Business Intelligence Analyst (Barcelona);Rover.com;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Algo de responsabilidad
111;JUNIOR DATA ENGINEER;Eurecat - Centro Tecnológico de Catalunya;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Algo de responsabilidad
112;Data Analyst - Q-Commerce - Sales;Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
113;Lead Data Analyst - Crypto;Revolut;España;hace 1 semana;Jornada completa · Intermedio
114;Senior Data Scientist - Pricing analytics;HP;Sant Cugat del Vallès, Cataluña, España;hace 1 mes;Jornada completa
115;Data Engineer;Accenture España;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
116;Head of Data Analytics (They /She/ He);Glovo;Barcelona, Cataluña, España;hace 4 semanas;Jornada completa · Director
117;Business Intelligence Consultant;Schneider Electric;Barcelona, Cataluña, España;hace 1 día;Jornada completa · Algo de responsabilidad
118;Business Intelligence Analyst;Pronovias;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
119;Data Analyst - Delivery Flow Team (They/She/He);Glovo;Barcelona, Cataluña, España;hace 6 días;Jornada completa · Sin experiencia
120;Software Data Engineer;Aetion;Barcelona, Cataluña, España;hace 3 horas;Jornada completa · Intermedio
121;Celonis Data Analyst;MediaMarkt Iberia;El Prat de Llobregat, Cataluña, España;hace 5 meses;Jornada completa · Sin experiencia
122;Product Data Analyst (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
123;DATA ENGINEER (H/M);Capgemini Engineering;Barcelona, Cataluña, España;hace 4 días;Jornada completa · Algo de responsabilidad
124;Customer Engineer, Data Analytics, Google Cloud;Google;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
125;Game Data Analyst (M/F);Madbox;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Sin experiencia
126;Data analyst;Sopra Steria;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Intermedio
127;Senior Data Analyst - BI Team;Veepee;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Intermedio
128;Data Analyst;Festo España;Barcelona, Cataluña, España;hace 8 horas;Jornada completa
129;Data Engineer (Madrid o Barcelona);Innova-tsn;Barcelona y alrededores;hace 1 semana;Jornada completa · Algo de responsabilidad
130;DATA ENGINEER (H/M);Capgemini;Barcelona, Cataluña, España;hace 6 días;Jornada completa · Sin experiencia
131;Data engineer - MDM;Sanofi;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Intermedio
132;Data Analyst, Pricing-ESP;Ingram Micro;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
133;Strategic Data Analyst, International - Remote;Boats Group;Barcelona, Cataluña, España;hace 1 mes;Prácticas · Sin experiencia
134;Digital Data Engineer;Sanofi;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
135;Intelligence Analyst (Remote);CrowdStrike;Barcelona, Cataluña, España;hace 5 horas;Jornada completa · Algo de responsabilidad
136;Vulnerability Intelligence Analyst (Remote);CrowdStrike;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Algo de responsabilidad
137;Junior Data Engineer;Socialpoint;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Algo de responsabilidad
138;Senior Data Analyst - Product;FREE NOW;Barcelona, Cataluña, España;hace 5 días;Jornada completa · Algo de responsabilidad
139;CRM-Data Analyst;imagin;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
140;(Senior) Data Analyst m/f/d I on-site or remote;BestSecret;España;hace 2 semanas;Jornada completa · Sin experiencia
141;Data Engineer;AXA Partners;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
142;Data Analyst - Product;FREE NOW;Barcelona, Cataluña, España;hace 6 días;Jornada completa · Algo de responsabilidad
143;Data Engineer Internship;Zurich Insurance;Barcelona, Cataluña, España;hace 1 semana;Media jornada · Prácticas
144;Data Engineer BI;Page Personnel;Barcelona, Cataluña, España;hace 5 meses;Jornada completa · Sin experiencia
145;Data Engineer BI;Page Personnel;Barcelona, Cataluña, España;hace 4 meses;Jornada completa · Sin experiencia
146;Senior Data Analyst;Reloadly;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
147;Biostatistician II;Veristat;Barcelona, Cataluña, España;hace 4 días;Jornada completa · Algo de responsabilidad
148;Data Analyst;Grupo Planeta;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
149;Digital Marketing Data Analyst/Data Scientist;HP;Sant Cugat del Vallès, Cataluña, España;hace 3 semanas;Jornada completa
150;Business Data Analyst (They/She/He);Glovo;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Algo de responsabilidad
151;Junior Data Analyst;TravelPerk;Barcelona, Cataluña, España;hace 6 días;Jornada completa · Intermedio
152;Data Scientist - Insurance / Financial Services Background;Zurich Insurance;Barcelona, Cataluña, España;hace 1 día;Jornada completa · Intermedio
153;EMEA BI Sr Data Analyst;Ingram Micro;Barcelona, Cataluña, España;hace 1 día;Jornada completa · Algo de responsabilidad
154;Senior Data Analyst;Dynatrace;Barcelona, Cataluña, España;hace 1 día;Jornada completa · Algo de responsabilidad
155;Data Analyst;AHEAD TECHNOLOGY;España;hace 1 semana;Jornada completa · Algo de responsabilidad
156;Senior Data Analyst (Bangkok Based, relocation provided);Agoda;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Algo de responsabilidad
157;Junior Solution Engineer DWH/BI;Zurich Insurance;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Intermedio
158;Research Data Scientist;Meta;España;hace 4 horas;Jornada completa
159;Data Engineer;Amazon;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
160;Ad Operations Data Analyst;Younited;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Sin experiencia
161;Analista Funcional BI;TSD Consulting;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Intermedio
162;Data Analyst, Pricing-ESP;Ingram Micro;Barcelona, Cataluña, España;hace 6 horas;Jornada completa · Sin experiencia
163;Data Engineer - BI;Glovo;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Algo de responsabilidad
164;Data Engineer;Amazon;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
165;Data Engineer;Robert Walters;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
166;Data Governance Analyst - Europe remote;Cimpress;España;hace 3 días;Jornada completa · Sin experiencia
167;People Data Analyst;eDreams ODIGEO;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Sin experiencia
168;Data Engineer;Amazon;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
169;Data Engineer;Siemens Energy;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
170;Product Data Analyst (f/m/d);Homelike;Barcelona, Cataluña, España;hace 2 días;Jornada completa · Sin experiencia
171;Data Engineer;Amazon;Barcelona, Cataluña, España;hace 5 días;Jornada completa
172;Business Intelligence Engineer;Amazon;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
173;Data Engineer;DNV;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa
174;Data Engineer;PepsiCo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Intermedio
175;Data Visualization Engineer;Sanofi;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
176;Credit Intelligence Analyst;Tech Data;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
177;Data Analyst- Finance;TravelPerk;Barcelona, Cataluña, España;hace 5 meses;Jornada completa · Intermedio
178;BI Designer and Data Visualization;HP;Sant Cugat del Vallès, Cataluña, España;hace 1 mes;Jornada completa
179;Business Intelligence Engineer, EMEA GES;Amazon;Barcelona, Cataluña, España;hace 2 días;Jornada completa
180;Junior Data Scraping Engineer (Python);Flanks;Barcelona, Cataluña, España;hace 2 días;Jornada completa · Algo de responsabilidad
181;Data Engineer BI;Michael Page;Barcelona, Cataluña, España;hace 4 meses;Jornada completa · Sin experiencia
182;Business Intelligence Consultant;Mur&Partners;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
183;Business Intelligence Analyst (Senior);Thunes;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
184;Business Intelligence Engineer;Amazon;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
185;Analista de datos ELK;Alisys;España;hace 3 días;Jornada completa · Algo de responsabilidad
186;Business Intelligence Consultant;Mur&Partners;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
187;BI Consultant;;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
188;Data Engineer;Page Personnel;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Sin experiencia
189;Junior Data Scientist - Python;Between Technology;Barcelona, Cataluña, España;hace 2 días;Jornada completa · Sin experiencia
190;IT | Data Analyst | Cataluña;ALTEN;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Intermedio
191;Data Engineer Junior - BI;Kiteris;Barcelona, Cataluña, España;hace 3 meses;Jornada completa · Algo de responsabilidad
192;Data Engineer BI;Michael Page;Barcelona, Cataluña, España;hace 5 meses;Jornada completa · Sin experiencia
193;BI Data Analyst (M/F);Madbox;Barcelona, Cataluña, España;hace 7 meses;Jornada completa · Algo de responsabilidad
194;Data Analyst;Applus+ Laboratories;Cerdanyola del Vallès, Cataluña, España;hace 3 días;Jornada completa · Algo de responsabilidad
195;Data Analyst - Qcommerce - Partner Operations;Glovo;Barcelona, Cataluña, España;hace 4 semanas;Jornada completa · Sin experiencia
196;Business Data Analyst for Tax Engine;Amazon;Barcelona, Cataluña, España;hace 2 días;Jornada completa
197;Marketing Data Analyst;CloudBlue;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Algo de responsabilidad
198;Data Engineer - BI (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
199;Business Data Analyst for Tax Engine;Amazon;Barcelona, Cataluña, España;hace 2 días;Jornada completa
200;Senior Product Data Analyst;BLING;Barcelona, Cataluña, España;hace 2 días;Jornada completa
201;BI Specialist;JLL;Vic, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
202;Data Analyst;Housfy;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Algo de responsabilidad
203;Senior Data Analyst, Vendor Analytics – Digital Markets;Gartner;Barcelona, Cataluña, España;hace 6 horas;Jornada completa · Algo de responsabilidad
204;Data Engineer;BLING;Barcelona, Cataluña, España;hace 2 días;Jornada completa
205;Data Engineer - BI (They/She/He);Glovo;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa · Sin experiencia
206;Data Analyst;Q-tech;Barcelona y alrededores;hace 1 semana;Jornada completa · Intermedio
207;Data & Analytics products and Services (DAPS) Internal Communications Intern;Nestlé;Esplugues de Llobregat, Cataluña, España;hace 3 semanas;Jornada completa
208;Data Engineer, EU Workforce Staffing;Amazon;Barcelona, Cataluña, España;hace 5 horas;Jornada completa
209;Data Engineer;GfK;Barcelona y alrededores;hace 3 horas;Jornada completa · Intermedio
210;Senior Data Analyst, Mobile;Brainly;España;hace 3 semanas;Jornada completa · Intermedio
211;Business Intelligence Engineer;Amazon;Barcelona, Cataluña, España;hace 2 semanas;Jornada completa
212;Data Analyst, Marketplace;OnFrontiers;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Sin experiencia
213;Senior Business Intelligence & Insights Analyst;Veriff;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Intermedio
214;Data Engineer;Pronovias;Barcelona y alrededores;hace 4 horas;Jornada completa · Algo de responsabilidad
215;Senior Data Analyst/Scientist;Domestika;Barcelona, Cataluña, España;hace 1 mes;Jornada completa · Algo de responsabilidad
216;Data Engineer;Michael Page;Barcelona, Cataluña, España;hace 3 días;Jornada completa · Sin experiencia
217;Senior Data Analyst, Growth;Brainly;España;hace 1 semana;Jornada completa · Intermedio
218;Data Analyst - Qcommerce - Partner Operations;Glovo;Barcelona, Cataluña, España;hace 1 semana;Jornada completa · Algo de responsabilidad
219;CONSULTOR BI;SETESCA;Barcelona, Cataluña, España;hace 1 hora;Jornada completa · Intermedio
220;Big Data engineer;GMV;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Sin experiencia
221;Data Engineer;INNOCV Solutions;España;hace 1 semana;Jornada completa · Sin experiencia
222;Junior Big Data Developer (Tech Support) - Google Cloud Platform;Webhelp;Barcelona y alrededores;hace 1 hora;Jornada completa · Algo de responsabilidad
223;Senior Intelligence Analyst (Remote);CrowdStrike;Barcelona, Cataluña, España;hace 5 horas;Jornada completa · Algo de responsabilidad
224;Especialista Business Intelligence;FDS, A DXC Technology Company;Barcelona y alrededores;hace 2 días;Jornada completa · Algo de responsabilidad
225;Senior Data Analyst;Adevinta;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Intermedio
226;Data Engineer;Toptal;Sabadell, Cataluña, España;hace 6 horas;Contrato por obra · Intermedio
227;Data Engineer (Returnly);Affirm;España;hace 1 día;Jornada completa · Intermedio
228;Consultor/a Analytics Qlik Sense;NUNSYS;España;hace 4 semanas;Jornada completa
229;Data Analyst;Wallapop;Barcelona, Cataluña, España;hace 3 semanas;Jornada completa · Algo de responsabilidad
